identifier,category,timestamp,x,y
7.0,3.0,1683896493.4228892,1242,631
8.0,2.0,1683896492.5275025,596,405
8.0,2.0,1683896492.6781557,583,407
8.0,2.0,1683896492.8288088,571,417
8.0,2.0,1683896492.979462,556,423
8.0,2.0,1683896493.130115,544,422
8.0,2.0,1683896493.280768,530,428
8.0,2.0,1683896493.431421,518,428
8.0,2.0,1683896493.5820742,502,429
8.0,2.0,1683896493.7327273,495,431
8.0,2.0,1683896493.8833804,490,433
8.0,2.0,1683896494.0340335,483,435
8.0,2.0,1683896494.1846867,478,435
8.0,2.0,1683896494.3353395,473,436
8.0,2.0,1683896494.4859927,468,435
8.0,2.0,1683896494.6366458,463,431
8.0,2.0,1683896494.787299,460,433
11.0,2.0,1683896493.3142514,542,691
11.0,2.0,1683896493.476485,592,688
11.0,2.0,1683896493.6387186,670,684
11.0,2.0,1683896493.8009522,715,680
11.0,2.0,1683896493.9631858,744,669
12.0,2.0,1683896493.7192955,758,295
12.0,2.0,1683896493.896645,774,301
12.0,2.0,1683896494.0739946,788,307
12.0,2.0,1683896494.251344,802,313
12.0,2.0,1683896494.4286935,820,328
12.0,2.0,1683896494.606043,836,335
12.0,2.0,1683896494.7833924,850,345
12.0,2.0,1683896494.960742,871,355
12.0,2.0,1683896495.1380916,897,370
12.0,2.0,1683896495.3154411,919,385
12.0,2.0,1683896495.4927907,943,401
12.0,2.0,1683896495.67014,977,422
12.0,2.0,1683896495.8474896,1007,443
12.0,2.0,1683896496.0248392,1041,465
12.0,2.0,1683896496.2021885,1078,491
12.0,2.0,1683896496.379538,1130,529
12.0,2.0,1683896496.5568876,1162,565
12.0,2.0,1683896496.7342372,1181,598
12.0,2.0,1683896496.9115868,1213,618
12.0,2.0,1683896497.088936,1244,645
13.0,2.0,1683896494.5469785,628,447
13.0,2.0,1683896494.6573262,613,443
13.0,2.0,1683896494.767674,583,446
13.0,2.0,1683896494.8780217,564,446
13.0,2.0,1683896494.9883695,540,449
13.0,2.0,1683896495.0987172,504,454
13.0,2.0,1683896495.209065,489,454
13.0,2.0,1683896495.3194127,476,458
13.0,2.0,1683896495.4297605,461,462
14.0,2.0,1683896495.166022,637,285
14.0,2.0,1683896495.3161025,646,290
14.0,2.0,1683896495.4661832,659,296
