identifier,category,timestamp,x,y
1.0,2.0,1682594200.5752223,546,150
1.0,2.0,1682594200.709792,543,150
1.0,2.0,1682594200.8443613,539,150
1.0,2.0,1682594200.978931,538,150
1.0,2.0,1682594201.1135006,534,150
1.0,2.0,1682594201.24807,533,150
1.0,2.0,1682594201.3826396,530,149
1.0,2.0,1682594201.5172093,528,149
1.0,2.0,1682594201.6517787,525,149
1.0,2.0,1682594201.7863483,522,149
1.0,2.0,1682594201.920918,521,149
1.0,2.0,1682594202.0554874,517,149
1.0,2.0,1682594202.190057,514,149
1.0,2.0,1682594202.3246267,512,149
1.0,2.0,1682594202.4591963,509,148
1.0,2.0,1682594202.5937657,506,148
1.0,2.0,1682594202.7283354,502,148
1.0,2.0,1682594202.862905,500,148
1.0,2.0,1682594202.9974744,498,147
1.0,2.0,1682594203.132044,496,148
1.0,2.0,1682594203.2666137,493,148
1.0,2.0,1682594203.4011831,490,148
2.0,2.0,1682594184.0383968,411,148
2.0,2.0,1682594184.187594,410,149
2.0,2.0,1682594184.336791,440,149
2.0,2.0,1682594184.485988,445,150
2.0,2.0,1682594184.635185,448,150
2.0,2.0,1682594184.784382,451,151
2.0,2.0,1682594184.9335792,455,151
2.0,2.0,1682594185.0827763,458,152
2.0,2.0,1682594185.2319734,461,151
2.0,2.0,1682594185.3811703,467,152
2.0,2.0,1682594185.5303674,468,152
2.0,2.0,1682594185.6795645,471,153
2.0,2.0,1682594185.8287616,474,153
2.0,2.0,1682594185.9779587,477,153
2.0,2.0,1682594186.1271555,482,153
2.0,2.0,1682594186.2763526,485,153
2.0,2.0,1682594186.4255497,486,153
2.0,2.0,1682594186.5747468,488,153
2.0,2.0,1682594186.723944,491,154
2.0,2.0,1682594186.873141,493,154
2.0,2.0,1682594187.022338,495,154
2.0,2.0,1682594187.171535,498,154
2.0,2.0,1682594187.320732,498,155
2.0,2.0,1682594187.4699292,500,156
2.0,2.0,1682594187.6191263,503,157
2.0,2.0,1682594187.7683232,505,156
2.0,2.0,1682594187.9175203,506,157
2.0,2.0,1682594188.0667174,507,157
2.0,2.0,1682594188.2159145,507,157
2.0,2.0,1682594188.3651116,509,158
2.0,2.0,1682594188.5143085,510,158
2.0,2.0,1682594188.6635056,510,159
2.0,2.0,1682594188.8127027,513,159
2.0,2.0,1682594188.9618998,513,160
2.0,2.0,1682594189.1110969,514,160
2.0,2.0,1682594189.260294,515,160
2.0,2.0,1682594189.4094908,515,160
2.0,2.0,1682594189.558688,516,161
2.0,2.0,1682594189.707885,516,161
2.0,2.0,1682594189.8570821,517,161
2.0,2.0,1682594190.0062792,517,162
2.0,2.0,1682594190.155476,518,162
2.0,2.0,1682594190.3046732,519,164
2.0,2.0,1682594190.4538703,519,164
2.0,2.0,1682594190.6030674,519,166
2.0,2.0,1682594190.7522645,519,166
2.0,2.0,1682594190.9014616,520,167
2.0,2.0,1682594191.0506585,521,168
2.0,2.0,1682594191.1998556,521,170
2.0,2.0,1682594191.3490527,522,170
2.0,2.0,1682594191.4982498,521,171
2.0,2.0,1682594191.6474469,521,171
2.0,2.0,1682594191.7966437,521,172
2.0,2.0,1682594191.9458408,522,174
2.0,2.0,1682594192.095038,525,174
2.0,2.0,1682594192.244235,525,176
2.0,2.0,1682594192.3934321,526,178
2.0,2.0,1682594192.5426292,526,178
2.0,2.0,1682594192.691826,526,179
2.0,2.0,1682594192.8410232,527,180
2.0,2.0,1682594192.9902203,529,182
2.0,2.0,1682594193.1394174,530,184
2.0,2.0,1682594193.2886145,533,185
2.0,2.0,1682594193.4378114,533,185
2.0,2.0,1682594193.5870085,533,188
2.0,2.0,1682594193.7362056,534,188
2.0,2.0,1682594193.8854027,535,189
2.0,2.0,1682594194.0345998,535,191
2.0,2.0,1682594194.183797,536,192
2.0,2.0,1682594194.3329937,537,193
2.0,2.0,1682594194.4821908,537,195
2.0,2.0,1682594194.631388,539,197
2.0,2.0,1682594194.780585,540,199
2.0,2.0,1682594194.9297822,540,200
2.0,2.0,1682594195.078979,541,202
2.0,2.0,1682594195.228176,542,202
2.0,2.0,1682594195.3773732,543,204
2.0,2.0,1682594195.5265703,543,206
2.0,2.0,1682594195.6757674,543,207
2.0,2.0,1682594195.8249645,544,208
2.0,2.0,1682594195.9741614,544,209
2.0,2.0,1682594196.1233585,545,210
2.0,2.0,1682594196.2725556,546,212
2.0,2.0,1682594196.4217527,547,212
2.0,2.0,1682594196.5709498,548,215
2.0,2.0,1682594196.7201467,548,216
2.0,2.0,1682594196.8693438,549,218
2.0,2.0,1682594197.0185409,550,219
2.0,2.0,1682594197.167738,551,221
2.0,2.0,1682594197.316935,552,223
2.0,2.0,1682594197.466132,555,226
2.0,2.0,1682594197.615329,553,233
2.0,2.0,1682594197.7645261,555,235
2.0,2.0,1682594197.9137232,556,237
2.0,2.0,1682594198.0629203,557,239
2.0,2.0,1682594198.2121174,558,239
2.0,2.0,1682594198.3613143,559,243
2.0,2.0,1682594198.5105114,559,244
2.0,2.0,1682594198.6597085,560,246
2.0,2.0,1682594198.8089056,562,249
2.0,2.0,1682594198.9581027,562,250
2.0,2.0,1682594199.1072996,562,253
2.0,2.0,1682594199.2564967,562,259
2.0,2.0,1682594199.4056938,564,262
2.0,2.0,1682594199.5548909,564,264
2.0,2.0,1682594199.704088,565,266
2.0,2.0,1682594199.853285,565,268
2.0,2.0,1682594200.002482,567,271
2.0,2.0,1682594200.151679,568,275
2.0,2.0,1682594200.3008761,569,280
2.0,2.0,1682594200.4500732,570,285
2.0,2.0,1682594200.5992703,572,288
2.0,2.0,1682594200.7484672,573,293
2.0,2.0,1682594200.8976643,574,297
2.0,2.0,1682594201.0468614,577,300
2.0,2.0,1682594201.1960585,579,305
2.0,2.0,1682594201.3452556,582,308
2.0,2.0,1682594201.4944527,585,314
2.0,2.0,1682594201.6436496,585,317
2.0,2.0,1682594201.7928467,588,322
2.0,2.0,1682594201.9420438,591,327
2.0,2.0,1682594202.091241,593,332
2.0,2.0,1682594202.240438,597,335
2.0,2.0,1682594202.3896348,601,342
2.0,2.0,1682594202.538832,604,346
