identifier,category,timestamp,x,y
12.0,2.0,1682594215.3642764,983,610
12.0,2.0,1682594215.6073096,989,615
12.0,2.0,1682594215.8503428,964,619
12.0,2.0,1682594216.093376,965,622
12.0,2.0,1682594216.3364093,968,625
12.0,2.0,1682594216.5794425,969,653
13.0,7.0,1682594209.2516055,517,134
13.0,7.0,1682594209.3613575,509,134
13.0,7.0,1682594209.4711096,506,135
14.0,2.0,1682594254.5885355,423,145
15.0,2.0,1682594261.801259,563,154
15.0,2.0,1682594262.0123522,561,154
15.0,2.0,1682594262.2234454,559,153
15.0,2.0,1682594262.4345384,555,153
15.0,2.0,1682594262.6456316,553,152
15.0,2.0,1682594262.8567247,550,152
15.0,2.0,1682594263.067818,548,151
15.0,2.0,1682594263.278911,546,152
15.0,2.0,1682594263.4900043,543,152
15.0,2.0,1682594263.7010972,540,151
15.0,2.0,1682594263.9121904,537,151
15.0,2.0,1682594264.1232836,533,152
15.0,2.0,1682594264.3343768,529,150
15.0,2.0,1682594264.54547,525,150
15.0,2.0,1682594264.7565632,522,149
15.0,2.0,1682594264.9676561,519,151
15.0,2.0,1682594265.1787493,516,151
15.0,2.0,1682594265.3898425,514,150
15.0,2.0,1682594265.6009357,510,150
15.0,2.0,1682594265.812029,508,151
15.0,2.0,1682594266.023122,506,151
15.0,2.0,1682594266.234215,502,149
15.0,2.0,1682594266.4453082,493,149
15.0,2.0,1682594266.6564014,489,147
15.0,2.0,1682594266.8674946,484,147
15.0,2.0,1682594267.0785878,481,148
15.0,2.0,1682594267.289681,478,148
15.0,2.0,1682594267.500774,475,147
15.0,2.0,1682594267.711867,472,147
16.0,2.0,1682594270.026359,419,145
17.0,2.0,1682594293.6920297,506,152
17.0,2.0,1682594293.9266932,500,149
17.0,2.0,1682594294.161357,495,150
18.0,2.0,1682594287.970574,553,153
18.0,2.0,1682594288.1371515,551,152
18.0,2.0,1682594288.303729,549,152
18.0,2.0,1682594288.4703066,545,151
18.0,2.0,1682594288.636884,542,151
18.0,2.0,1682594288.8034616,539,150
18.0,2.0,1682594288.9700391,536,150
