identifier,category,timestamp,x,y
2.0,2.0,1682594207.0944498,857,640
2.0,2.0,1682594207.2354534,850,669
2.0,2.0,1682594207.3764572,834,682
3.0,5.0,1682594207.9691672,721,181
3.0,5.0,1682594208.0763435,716,180
1.0,2.0,1682594200.6661956,541,151
1.0,2.0,1682594200.8808172,538,151
1.0,2.0,1682594201.0954385,535,150
1.0,2.0,1682594201.31006,525,150
1.0,2.0,1682594201.5246813,518,148
6.0,3.0,1682594200.0867414,1078,519
6.0,3.0,1682594200.160163,1066,509
5.0,0.0,1682594203.5839226,748,300
5.0,0.0,1682594203.750124,739,293
5.0,0.0,1682594203.916325,734,291
5.0,0.0,1682594204.0825264,720,291
5.0,0.0,1682594204.2487276,713,288
5.0,0.0,1682594204.414929,707,287
5.0,0.0,1682594204.5811303,699,288
5.0,0.0,1682594204.7473314,685,278
5.0,0.0,1682594204.9135327,680,270
5.0,0.0,1682594205.079734,675,271
5.0,0.0,1682594205.2459352,667,261
5.0,0.0,1682594205.4121366,645,251
5.0,0.0,1682594205.5783377,642,246
5.0,0.0,1682594205.744539,637,243
5.0,0.0,1682594205.9107404,634,243
5.0,0.0,1682594206.0769415,632,239
5.0,0.0,1682594206.2431428,628,237
5.0,0.0,1682594206.4093442,626,233
5.0,0.0,1682594206.5755453,622,234
5.0,0.0,1682594206.7417467,617,228
5.0,0.0,1682594206.9079478,613,226
5.0,0.0,1682594207.0741491,609,225
5.0,0.0,1682594207.2403505,606,213
5.0,0.0,1682594207.4065516,603,215
5.0,0.0,1682594207.572753,602,210
5.0,0.0,1682594207.7389543,595,208
5.0,0.0,1682594207.9051554,593,205
5.0,0.0,1682594208.0713568,589,204
5.0,0.0,1682594208.237558,589,200
12.0,2.0,1682594209.221225,495,160
12.0,2.0,1682594209.517989,498,162
12.0,2.0,1682594209.814753,505,164
12.0,2.0,1682594210.111517,511,169
12.0,2.0,1682594210.408281,518,172
12.0,2.0,1682594210.705045,522,175
12.0,2.0,1682594211.0018091,530,178
12.0,2.0,1682594211.298573,533,180
12.0,2.0,1682594211.5953372,534,183
12.0,2.0,1682594211.892101,537,184
12.0,2.0,1682594212.1888652,539,187
12.0,2.0,1682594212.485629,542,188
12.0,2.0,1682594212.782393,546,191
12.0,2.0,1682594213.079157,550,192
12.0,2.0,1682594213.375921,553,196
12.0,2.0,1682594213.6726851,563,199
12.0,2.0,1682594213.969449,568,205
12.0,2.0,1682594214.2662132,571,206
12.0,2.0,1682594214.562977,572,209
12.0,2.0,1682594214.8597412,575,210
12.0,2.0,1682594215.156505,577,213
12.0,2.0,1682594215.453269,587,220
12.0,2.0,1682594215.7500331,589,223
12.0,2.0,1682594216.046797,594,227
12.0,2.0,1682594216.3435612,606,240
12.0,2.0,1682594216.640325,607,243
12.0,2.0,1682594216.9370892,610,245
12.0,2.0,1682594217.233853,615,253
12.0,2.0,1682594217.5306172,620,257
12.0,2.0,1682594217.8273811,635,277
12.0,2.0,1682594218.1241453,639,280
12.0,2.0,1682594218.4209092,679,330
12.0,2.0,1682594218.717673,685,335
12.0,2.0,1682594219.0144372,689,340
12.0,2.0,1682594219.311201,692,346
12.0,2.0,1682594219.6079652,697,352
12.0,2.0,1682594219.9047291,700,358
12.0,2.0,1682594220.2014933,747,410
12.0,2.0,1682594220.4982572,751,419
12.0,2.0,1682594220.7950213,772,442
12.0,2.0,1682594221.0917852,777,451
12.0,2.0,1682594221.388549,844,530
12.0,2.0,1682594221.6853132,850,543
12.0,2.0,1682594221.9820771,967,600
12.0,2.0,1682594222.2788413,977,608
12.0,2.0,1682594222.5756052,983,610
12.0,2.0,1682594222.8723693,989,615
12.0,2.0,1682594223.1691332,964,619
12.0,2.0,1682594223.4658973,965,622
12.0,2.0,1682594223.7626612,968,625
12.0,2.0,1682594224.0594254,969,653
13.0,7.0,1682594217.487424,517,134
13.0,7.0,1682594217.590754,509,134
13.0,7.0,1682594217.6940842,506,135
14.0,2.0,1682594259.925292,423,145
15.0,2.0,1682594265.9791923,563,154
15.0,2.0,1682594266.2358258,559,153
15.0,2.0,1682594266.4924593,556,153
15.0,2.0,1682594266.749093,553,152
15.0,2.0,1682594267.0057266,543,152
15.0,2.0,1682594267.26236,540,151
15.0,2.0,1682594267.5189936,537,151
15.0,2.0,1682594267.7756271,533,152
15.0,2.0,1682594268.032261,529,150
15.0,2.0,1682594268.2888944,525,150
15.0,2.0,1682594268.545528,522,149
15.0,2.0,1682594268.8021615,519,151
15.0,2.0,1682594269.058795,516,151
15.0,2.0,1682594269.3154285,512,150
15.0,2.0,1682594269.5720623,508,151
15.0,2.0,1682594269.8286958,499,149
15.0,2.0,1682594270.0853293,493,149
15.0,2.0,1682594270.3419628,489,147
15.0,2.0,1682594270.5985963,478,148
15.0,2.0,1682594270.85523,475,147
15.0,2.0,1682594271.1118636,472,147
16.0,2.0,1682594273.3650866,419,145
17.0,2.0,1682594294.1588442,506,152
17.0,2.0,1682594294.352056,500,149
17.0,2.0,1682594294.5452676,495,150
18.0,2.0,1682594288.2863483,553,153
18.0,2.0,1682594288.5026393,545,151
18.0,2.0,1682594288.7189302,542,151
18.0,2.0,1682594288.9352212,539,150
18.0,2.0,1682594289.1515124,536,150
18.0,2.0,1682594289.3678033,532,151
18.0,2.0,1682594289.5840943,529,151
18.0,2.0,1682594289.8003852,525,150
18.0,2.0,1682594290.0166762,516,150
18.0,2.0,1682594290.2329674,512,149
18.0,2.0,1682594290.4492583,495,149
18.0,2.0,1682594290.6655493,491,148
